Date,Person,Event
1714-01-01,Georgian Era,Start
1812-02-07,Charles Dickens,Born
1812-12-20,Eventos,Grimm's Fairy Tales
1819-02-08,John Ruskin,Born
1819-07-02,Eventos,Cotton Mills and Factory Act
1831-07-01,Eventos,Ten Hours Movement**
1832-01-27,Charles Dodgson,Born
1833-08-29,Eventos,Factories Regulation Act
1834-07-01,Charles Dickens,Meets Kate Hogarth**
1836-04-02,Charles Dickens,Marries Kate Hogarth
1836-09-01,John Ruskin,Enters Oxford's Ch Ch
1837-02-01,Charles Dickens,Oliver Twist
1837-06-19,Georgian Era,End
1837-06-20,Victorian Era,Start
1839-02-25,Eventos,Photography introduced
1839-07-01,John Ruskin,First met Williams Wordsworth**
1841-07-01,Charles Dickens,The Old Curiosity Shop**
1841-07-01,John Ruskin,The King of the Golden River for Effie Gray* **
1843-08-01,Eventos,The Cry of The Children
1843-12-19,Charles Dickens,A Christmas Carol
1844-07-01,Eventos,Invention of the Morse Code**
1846-10-10,Eventos,Sewing machine invented
1848-04-10,John Ruskin,Marries Effie Gray
1851-05-01,Eventos,Great Exhibition at Hyde Park
1851-07-01,Eventos,Collodion process**
1854-04-10,John Ruskin,Marriage annulled
1854-07-01,Eventos,Youthful Offenders Act**
1855-07-01,Charles Dodgson,Lecturer at Ch. Ch.**
1856-07-01,Charles Dodgson,Begins Photography**
1857-02-22,Baden-Powell,Born
1858-07-01,Charles Dickens,Separates Kate Hogarth**
1858-07-01,Charles Dodgson,Alice as Beggar/Best**
1859-07-01,Charles Dickens,A Tale of Two Cities**
1859-12-16,Francis Thompson,Born
1860-05-09,J.M. Barrie,Born
1861-07-01,Charles Dickens,Great Expectations
1861-07-01,John Ruskin,Meets Alice Liddell?**
1861-08-06,Off. Against the Person Act,Increases AoC from 10 to 12
1862-07-04,Charles Dodgson,Boat trip - Alice Adv.
1863-06-15,Charles Dodgson,Break with Liddells
1865-08-05,Charles Dodgson,Alice in Wonderland
1865-12-30,Rudyard Kipling,Born
1866-07-01,John Ruskin,The Ethics of the Dust**
1867-08-02,Ernest Dowson,Born
1870-06-09,Charles Dickens,Death
1871-12-01,Charles Dodgson,Through the Looking-Glass
1873-07-01,Charles Dodgson,Xie Kitchin's fav**
1875-08-13,Off. Against the Person Act,Increases AoC from 12 to 13
1879-07-01,Charles Dodgson,Evelyn Hatch s.h.**
1880-07-01,Charles Dodgson,Abandons Photography**
1880-07-01,Francis Thompson,Birth of Monica?**
1880-12-01,Eventos,Cherry Ripe
1883-07-01,Rudyard Kipling,Meets Baden-Powell**
1885-07-01,John Ruskin,Praeterita**
1885-07-01,Eventos,Pall Mall Gazette Reports
1885-08-14,Off. Against the Person Act,Increases AoC from 13 to 16
1888-07-01,Francis Thompson,Saved by Meynells**
1888-09-04,J.M. Barrie,Birth of Margaret Henley
1889-03-03,Rudyard Kipling,Trip to Penang / site of Bee Rocks in Red Dog
1889-11-01,Ernest Dowson,Meets Adelaide*
1890-07-01,Francis Thompson,The Hound of Heaven
1891-05-12,Francis Thompson,Birth of Francis
1891-07-01,Francis Thompson,The Poppy**
1892-12-29,Rudyard Kipling,Josephine born
1893-04-01,Ernest Dowson,Proposes to Adelaide
1893-05-01,Rudyard Kipling,In The Rukh / Many Inventions
1893-07-01,Francis Thompson,Poems**
1893-07-01,Ernest Dowson,NSQEBsRC**
1893-07-01,Ernest Dowson,Verses**
1894-02-11,J.M. Barrie,Death of Margaret Henley
1894-07-01,Rudyard Kipling,The Jungle Book**
1895-07-01,Rudyard Kipling,If**
1895-11-01,Rudyard Kipling,The Second Jungle Book
1898-01-14,Charles Dodgson,Death
1899-07-01,Baden-Powell,Aids to Scouting
1899-10-13,Baden-Powell,Siege of Mafeking
1900-01-20,John Ruskin,Death
1900-02-23,Ernest Dowson,Death
1900-07-01,Francis Thompson,To Monica: After Nine Years**
1901-01-22,Victorian Era,End
1901-01-23,Edwardian Era,Start
1901-10-01,Rudyard Kipling,Kim
1902-11-01,J.M. Barrie,Peter Pan 1st appearance
1903-06-01,Francis Thompson,Monica marries Caleb Saleeby
1904-12-27,J.M. Barrie,Peter Pan at The Duke of York's Theatre
1906-07-01,Eventos,Paidophilia 1st appearance - Study of the Psychology of Sex
1907-08-01,Baden-Powell,Brownsea Scout camp
1907-11-13,Francis Thompson,Death
1908-01-24,Baden-Powell,Scouting for Boys
1911-07-01,J.M. Barrie,Peter and Wendy**
1914-07-27,Edwardian Era,End
1914-07-28,First World War,Start
1916-07-28,Baden-Powell,Asks Kipling for permission
1918-11-11,First World War,End
1918-11-12,Interwar Britain,Start
1923-07-01,Rudyard Kipling,Land and Sea Tales for Scouts and Guides**
1924-08-09,Rudyard Kipling,Imperial Jamboree
1936-01-18,Rudyard Kipling,Death
1937-06-19,J.M. Barrie,Death
1939-09-03,Interwar Britain,End
1939-09-04,Second World War,Start
1941-01-08,Baden-Powell,Death
1945-09-02,Second World War,End
